"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"179","Kaibab_high","Pix4D","Half","Half","Low",97,3,90,90,132,NA,22.815,7.19,3470740,0.113,"0.114",0.183,NA,3.59,3.6,13.07
"180","Kaibab_high","Pix4D","Half","Half","Optimal",97,3,90,90,132,NA,83.232,28.27,12713312,0.113,"0.114",0.183,NA,13.12,15.15,18.43
"181","Kaibab_high","Pix4D","Half","Original","High",97,3,90,90,132,NA,1154.31,209.52,182501520,0.113,"0.114",0.183,NA,4.57,204.95,349.82
"182","Kaibab_high","Pix4D","Half","Original","Low",97,3,90,90,132,NA,93.65,85.28,14334135,0.113,"0.114",0.183,NA,10.9,74.38,64.4
"183","Kaibab_high","Pix4D","Half","Original","Optimal",97,3,90,90,132,NA,318.535,181.56,49530272,0.113,"0.114",0.183,NA,5.46,176.1,134.75
"184","Kaibab_high","Pix4D","Half","Quarter","High",97,3,90,90,132,NA,72.55,13.29,11071658,0.113,"0.114",0.183,NA,4.27,9.02,9.25
"185","Kaibab_high","Pix4D","Half","Quarter","Low",97,3,90,90,132,NA,5.484,6.21,823689,0.113,"0.114",0.183,NA,3.96,2.25,7.88
"186","Kaibab_high","Pix4D","Half","Quarter","Optimal",97,3,90,90,132,NA,20.354,7.13,3089527,0.113,"0.114",0.183,NA,4.3,2.83,8.82
"187","Kaibab_high","Pix4D","Original","Eighth","High",97,3,90,90,132,NA,18.404,8.26,2796224,0.151,"0.153",0.244,NA,3.93,4.33,17.5
"188","Kaibab_high","Pix4D","Original","Eighth","Low",97,3,90,90,132,NA,1.35,3.77,198361,0.151,"0.153",0.244,NA,2.67,1.1,13.46
"189","Kaibab_high","Pix4D","Original","Eighth","Optimal",97,3,90,90,132,NA,5.121,5.86,769306,0.151,"0.153",0.244,NA,3.65,2.21,19.38
"190","Kaibab_high","Pix4D","Original","Half","High",97,3,90,90,132,NA,287.407,71.29,44627499,0.151,"0.153",0.244,NA,4,67.29,53.42
"191","Kaibab_high","Pix4D","Original","Half","Low",97,3,90,90,132,NA,22.496,9.73,3424228,0.151,"0.153",0.244,NA,3.33,6.4,15.55
"192","Kaibab_high","Pix4D","Original","Half","Optimal",97,3,90,90,132,NA,86.679,25.24,12637560,0.151,"0.153",0.244,NA,4.1,21.14,21.09
"193","Kaibab_high","Pix4D","Original","Original","High",97,3,90,90,132,NA,1192.168,254.16,188696841,0.151,"0.153",0.244,NA,3.85,250.31,484.86
"194","Kaibab_high","Pix4D","Original","Original","Low",97,3,90,90,132,NA,93.003,36.03,14242486,0.151,"0.153",0.244,NA,3.88,32.15,23.12
"195","Kaibab_high","Pix4D","Original","Original","Optimal",97,3,90,90,132,NA,319.046,102.87,49613411,0.151,"0.153",0.244,NA,3.73,99.14,59.38
"196","Kaibab_high","Pix4D","Original","Quarter","High",97,3,90,90,132,NA,73.713,17.41,11255170,0.151,"0.153",0.244,NA,2.93,14.48,18.14
"197","Kaibab_high","Pix4D","Original","Quarter","Low",97,3,90,90,132,NA,5.527,5.01,831229,0.151,"0.153",0.244,NA,2.64,2.37,19.15
"198","Kaibab_high","Pix4D","Original","Quarter","Optimal",97,3,90,90,132,NA,20.435,8.99,3104786,0.151,"0.153",0.244,NA,4.04,4.95,16.25
"199","Kaibab_high","Pix4D","Quarter","Eighth","High",97,3,90,90,132,NA,17.574,5.82,2669025,0.117,"0.11799999999999999",0.188,NA,2.2,3.62,14.17
"200","Kaibab_high","Pix4D","Quarter","Eighth","Low",97,3,90,90,132,NA,1.196,3.16,175365,0.117,"0.11799999999999999",0.188,NA,1.64,1.52,15.62
"201","Kaibab_high","Pix4D","Quarter","Eighth","Optimal",97,3,90,90,132,NA,4.771,4.26,715724,0.117,"0.11799999999999999",0.188,NA,2.17,2.09,13.27
"202","Kaibab_high","Pix4D","Quarter","Half","High",97,3,90,90,132,NA,268.987,52.45,43258346,0.117,"0.11799999999999999",0.188,NA,1.4,51.05,45.8
"203","Kaibab_high","Pix4D","Quarter","Half","Low",97,3,90,90,132,NA,22.023,7.53,3353868,0.117,"0.11799999999999999",0.188,NA,1.3,6.23,16.65
"204","Kaibab_high","Pix4D","Quarter","Half","Optimal",97,3,90,90,132,NA,80.109,21.29,12260165,0.117,"0.11799999999999999",0.188,NA,1.88,19.41,19.71
"205","Kaibab_high","Pix4D","Quarter","Original","High",97,3,90,90,132,NA,1145.728,273.83,177507923,0.117,"0.11799999999999999",0.188,NA,1.48,272.35,368.75
"206","Kaibab_high","Pix4D","Quarter","Original","Low",97,3,90,90,132,NA,90.575,30.73,13883068,0.117,"0.11799999999999999",0.188,NA,1.85,28.88,21.82
"207","Kaibab_high","Pix4D","Quarter","Original","Optimal",97,3,90,90,132,NA,313.171,103.52,48094190,0.117,"0.11799999999999999",0.188,NA,1.77,101.75,57.07
"208","Kaibab_high","Pix4D","Quarter","Quarter","High",97,3,90,90,132,NA,69.917,17.26,10679902,0.117,"0.11799999999999999",0.188,NA,1.88,15.38,20.1
"209","Kaibab_high","Pix4D","Quarter","Quarter","Low",97,3,90,90,132,NA,5.066,4.42,761205,0.117,"0.11799999999999999",0.188,NA,1.9,2.52,18.59
"210","Kaibab_high","Pix4D","Quarter","Quarter","Optimal",97,3,90,90,132,NA,19.554,7.28,2969374,0.117,"0.11799999999999999",0.188,NA,1.86,5.42,16.95
"211","Kaibab_low","Pix4D","Double","Eighth","High",99,4,90,90,153,NA,17.198,11.8,2627628,0.133,"0.13400000000000001",0.214,NA,7.71,4.09,19.4
"212","Kaibab_low","Pix4D","Double","Eighth","Low",99,4,90,90,153,NA,1.305,8.47,194876,0.133,"0.13400000000000001",0.214,NA,6.59,1.88,17.55
"213","Kaibab_low","Pix4D","Double","Eighth","Optimal",99,4,90,90,153,NA,4.733,9.72,717298,0.133,"0.13400000000000001",0.214,NA,7.37,2.35,20.19
"214","Kaibab_low","Pix4D","Double","Half","High",99,4,90,90,153,NA,303.005,63.37,47148015,0.133,"0.13400000000000001",0.214,NA,6.33,57.04,25.17
"215","Kaibab_low","Pix4D","Double","Half","Low",99,4,90,90,153,NA,15.001,11.1,2401090,0.133,"0.13400000000000001",0.214,NA,6.67,4.43,18.83
"216","Kaibab_low","Pix4D","Double","Half","Optimal",99,4,90,90,153,NA,56.514,16.91,8999625,0.133,"0.13400000000000001",0.214,NA,7.09,9.82,14.04
"217","Kaibab_low","Pix4D","Double","Original","High",99,4,90,90,153,NA,1239.115,252.08,197430145,0.133,"0.13400000000000001",0.214,NA,6.86,245.22,42.46
"218","Kaibab_low","Pix4D","Double","Original","Low",99,4,90,90,153,NA,102.73,42.16,15850355,0.133,"0.13400000000000001",0.214,NA,9.98,32.18,21.55
"219","Kaibab_low","Pix4D","Double","Original","Optimal",99,4,90,90,153,NA,356.85,115.36,55883628,0.133,"0.13400000000000001",0.214,NA,5.65,109.71,31.98
"220","Kaibab_low","Pix4D","Double","Quarter","High",99,4,90,90,153,NA,60,13.78,9299173,0.133,"0.13400000000000001",0.214,NA,4.93,8.85,17.73
"221","Kaibab_low","Pix4D","Double","Quarter","Low",99,4,90,90,153,NA,4.225,7.79,653702,0.133,"0.13400000000000001",0.214,NA,5.35,2.44,15.93
"222","Kaibab_low","Pix4D","Double","Quarter","Optimal",99,4,90,90,153,NA,21.536,11.05,3275622,0.133,"0.13400000000000001",0.214,NA,5.14,5.91,17.05
"223","Kaibab_low","Pix4D","Eighth","Eighth","High",99,4,90,90,153,NA,18.03,6.33,2729644,0.111,"0.11",0.174,NA,2.6,3.73,16.3
"224","Kaibab_low","Pix4D","Eighth","Eighth","Low",99,4,90,90,153,NA,0.902,4.49,135569,0.111,"0.11",0.174,NA,3.04,1.45,14.8
"225","Kaibab_low","Pix4D","Eighth","Eighth","Optimal",99,4,90,90,153,NA,4.852,4.06,725976,0.111,"0.11",0.174,NA,2.04,2.02,16.09
"226","Kaibab_low","Pix4D","Eighth","Half","High",99,4,90,90,153,NA,305.253,71.7,47532611,0.111,"0.11",0.174,NA,2.52,69.18,20.57
"227","Kaibab_low","Pix4D","Eighth","Half","Low",99,4,90,90,153,NA,24.979,8.55,3820953,0.111,"0.11",0.174,NA,2.65,5.9,24.41
"228","Kaibab_low","Pix4D","Eighth","Half","Optimal",99,4,90,90,153,NA,90.458,26.5,13874465,0.111,"0.11",0.174,NA,2.57,23.93,20.35
"229","Kaibab_low","Pix4D","Eighth","Original","High",99,4,90,90,153,NA,1299.973,388.06,206320807,0.115,"0.113",0.175,NA,3.41,384.65,59.33
"230","Kaibab_low","Pix4D","Eighth","Original","Low",99,4,90,90,153,NA,103.345,37.2,15891583,0.115,"0.113",0.175,NA,2.8,34.4,22.75
"231","Kaibab_low","Pix4D","Eighth","Original","Optimal",99,4,90,90,153,NA,340.287,116.93,53078872,0.115,"0.113",0.175,NA,2.86,114.07,34.88
